item_code,item_name,total_qty,trx_frequency,avg_qty_per_trx,std_qty,recency,label,class_id,Qty_Velocity,Trx_Velocity,Recency_Ratio,Qty_Velocity_zscore,Trx_Velocity_zscore,Avg_Qty_Per_Trx_zscore,Std_Qty_zscore,Recency_Ratio_zscore,pred_knn,pred_rf,pred_svm,pred_lr,pred_xgb,pred_consensus
103700222,ZIRCUM KID SYRUP,689,134,5.141791044776119,4.994964359081116,1,Medium Moving,1,0.629798903107861,0.12248628884826325,0.0009140767824497258,-0.19,-0.0845,-0.1767,-0.1051,-0.4621,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700223,ZOTAM POWDER INJECTION,15,1,15.0,0.0,1006,Slow Moving,2,0.013711151736745886,0.0009140767824497258,0.9195612431444241,-0.5464,-0.6399,1.2654,-0.7969,3.9225,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700224,BIOTOPIX SPECIFIC LIFTING CREAM,2,1,2.0,0.0,519,Slow Moving,2,0.0018281535648994515,0.0009140767824497258,0.4744058500914077,-0.5532,-0.6399,-0.6363,-0.7969,1.7978,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700228,MUCIFAT  SUSPENSION,2762,395,6.992405063291139,8.915419998190591,0,Fast Moving,0,2.5246800731261425,0.3610603290676417,0.0,0.9062,1.0055,0.094,0.4378,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700229,COLATRIX LYCHEE POWDER,29,15,1.9333333333333333,0.7037315505489967,19,Slow Moving,2,0.026508226691042046,0.013711151736745886,0.01736745886654479,-0.5389,-0.5815,-0.646,-0.6994,-0.3835,Slow Moving,Slow Moving,Medium Moving,Slow Moving,Slow Moving,Slow Moving
103700232,OXORIL  SYRUP (STRAWBERRY),4464,694,6.432276657060519,8.449862060136091,8,Fast Moving,0,4.0804387568555756,0.6343692870201096,0.007312614259597806,1.8061,2.2542,0.0121,0.3733,-0.4315,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700234,MEPROCE 1000 INJEKSI,304,104,2.923076923076923,3.6302191960680728,1,Medium Moving,1,0.27787934186471663,0.09506398537477148,0.0009140767824497258,-0.3935,-0.2098,-0.5013,-0.2941,-0.4621,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700235,DTRIVIT 1000 DISPERSIBLE TABLET,1308,231,5.662337662337662,5.185960284922435,0,Fast Moving,0,1.1956124314442413,0.21115173674588666,0.0,0.1373,0.3206,-0.1005,-0.0787,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700236,PYREXIN  INFUSION,709,89,7.966292134831461,12.09756684608544,8,Medium Moving,1,0.6480804387568556,0.08135283363802559,0.007312614259597806,-0.1794,-0.2724,0.2365,0.8785,-0.4315,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700237,SODIUM VALPROATE SYRUP,712,31,22.967741935483872,15.477906557343259,149,Medium Moving,1,0.6508226691042047,0.0283363802559415,0.13619744058500913,-0.1778,-0.5146,2.431,1.3467,0.1836,Medium Moving,Medium Moving,Fast Moving,Fast Moving,Medium Moving,Medium Moving
